Datum;von;Zeitzone von;bis;Zeitzone bis;Spotmarktpreis in ct/kWh;Strompreis [ct/kWh]
01.01.2023;00:00;CET;01:00;CET;-0,517;0,87079344
01.01.2023;01:00;CET;02:00;CET;-0,107;0,18022224
01.01.2023;02:00;CET;03:00;CET;-0,147;0,24759504
01.01.2023;03:00;CET;04:00;CET;-0,508;0,85563456
01.01.2023;04:00;CET;05:00;CET;-0,449;0,75625968
01.01.2023;05:00;CET;06:00;CET;-0,54;0,9095328
01.01.2023;06:00;CET;07:00;CET;-0,502;0,84552864
01.01.2023;07:00;CET;08:00;CET;-0,13;0,2189616
01.01.2023;08:00;CET;09:00;CET;-0,144;0,24254208
01.01.2023;09:00;CET;10:00;CET;-0,109;0,18359088
01.01.2023;10:00;CET;11:00;CET;-0,107;0,18022224
01.01.2023;11:00;CET;12:00;CET;-0,107;0,18022224
01.01.2023;12:00;CET;13:00;CET;-0,079;0,13306128
01.01.2023;13:00;CET;14:00;CET;-0,027;0,04547664
01.01.2023;14:00;CET;15:00;CET;0,085;0,1431672
01.01.2023;15:00;CET;16:00;CET;2,353;3,96320496
01.01.2023;16:00;CET;17:00;CET;3,654;6,15450528
01.01.2023;17:00;CET;18:00;CET;4,603;7,75292496
01.01.2023;18:00;CET;19:00;CET;5,557;9,35976624
01.01.2023;19:00;CET;20:00;CET;5,495;9,2553384
01.01.2023;20:00;CET;21:00;CET;4,923;8,29190736
01.01.2023;21:00;CET;22:00;CET;4,499;7,57775568
01.01.2023;22:00;CET;23:00;CET;4,596;7,74113472
01.01.2023;23:00;CET;00:00;CET;3,5;5,89512
02.01.2023;00:00;CET;01:00;CET;5,791;9,75389712
02.01.2023;01:00;CET;02:00;CET;5,167;8,70288144
02.01.2023;02:00;CET;03:00;CET;5,293;8,91510576
02.01.2023;03:00;CET;04:00;CET;4,409;7,42616688
02.01.2023;04:00;CET;05:00;CET;5,008;8,43507456
02.01.2023;05:00;CET;06:00;CET;6,972;11,74307904
02.01.2023;06:00;CET;07:00;CET;10,508;17,69883456
02.01.2023;07:00;CET;08:00;CET;14,064;23,68827648
02.01.2023;08:00;CET;09:00;CET;14,598;24,58770336
02.01.2023;09:00;CET;10:00;CET;14,705;24,7679256
02.01.2023;10:00;CET;11:00;CET;14,561;24,52538352
02.01.2023;11:00;CET;12:00;CET;14,335;24,1447272
02.01.2023;12:00;CET;13:00;CET;14,438;24,31821216
02.01.2023;13:00;CET;14:00;CET;14,376;24,21378432
02.01.2023;14:00;CET;15:00;CET;14,82;24,9616224
02.01.2023;15:00;CET;16:00;CET;15,534;26,16422688
02.01.2023;16:00;CET;17:00;CET;16,289;27,43588848
02.01.2023;17:00;CET;18:00;CET;17;28,63344
02.01.2023;18:00;CET;19:00;CET;17,474;29,43180768
02.01.2023;19:00;CET;20:00;CET;16,446;27,70032672
02.01.2023;20:00;CET;21:00;CET;15,3;25,770096
02.01.2023;21:00;CET;22:00;CET;14,167;23,86176144
02.01.2023;22:00;CET;23:00;CET;13,491;22,72316112
02.01.2023;23:00;CET;00:00;CET;12,422;20,92262304
03.01.2023;00:00;CET;01:00;CET;13,001;21,89784432
03.01.2023;01:00;CET;02:00;CET;12;20,21184
03.01.2023;02:00;CET;03:00;CET;11,876;20,00298432
03.01.2023;03:00;CET;04:00;CET;11,5;19,36968
03.01.2023;04:00;CET;05:00;CET;11,363;19,13892816
03.01.2023;05:00;CET;06:00;CET;11,627;19,58358864
03.01.2023;06:00;CET;07:00;CET;13,892;23,39857344
03.01.2023;07:00;CET;08:00;CET;15,992;26,93564544
03.01.2023;08:00;CET;09:00;CET;16,917;28,49364144
03.01.2023;09:00;CET;10:00;CET;17,118;28,83218976
03.01.2023;10:00;CET;11:00;CET;16,857;28,39258224
03.01.2023;11:00;CET;12:00;CET;16,949;28,54753968
03.01.2023;12:00;CET;13:00;CET;16,45;27,707064
03.01.2023;13:00;CET;14:00;CET;16,091;27,10239312
03.01.2023;14:00;CET;15:00;CET;16,306;27,46452192
03.01.2023;15:00;CET;16:00;CET;16,773;28,25109936
03.01.2023;16:00;CET;17:00;CET;16,661;28,06245552
03.01.2023;17:00;CET;18:00;CET;17,072;28,75471104
03.01.2023;18:00;CET;19:00;CET;16,893;28,45321776
03.01.2023;19:00;CET;20:00;CET;16,099;27,11586768
03.01.2023;20:00;CET;21:00;CET;14,962;25,20079584
03.01.2023;21:00;CET;22:00;CET;13,099;22,06290768
03.01.2023;22:00;CET;23:00;CET;11,427;19,24672464
03.01.2023;23:00;CET;00:00;CET;9,366;15,77534112
04.01.2023;00:00;CET;01:00;CET;8,089;13,62446448
04.01.2023;01:00;CET;02:00;CET;7,067;11,90308944
04.01.2023;02:00;CET;03:00;CET;4;6,73728
04.01.2023;03:00;CET;04:00;CET;0,868;1,46198976
